langue,signes linguistiques,vocaux,graphiques,gestuels,communication,sociolinguistique,idiome,communication,identification,langue naturelle
système,ouvert,fermé,isolé,grec ancien,histoire des sciences,modèle mathématique,axiomes,Aristote,newtonien,système nerveux
ensemble,omnis,axiomatique,théorie des ensembles,appartenance,fonder les mathématiques,mathématique,Georg Cantor,relation,Zermelo,mathématiques
éléments,relation,symétrique,ensembles,classes,théorie des ensembles usuelle,axiome extensionnalité,,,,
mathématiques,raisonnements logiques,nombres,formes,structures,transformations,recherche,discipline,arithmétique,algèbre,
connaissances,notion,sens,langage,sciences cognitives,philosophes contemporains,gnoséologie,science,philosophie,épistémologie,
notion,connaissance,empiriques,concept,philosophie,,,,,,
connaissance,philosophie,proposition,savoir-faire,acquaintance,croyance,vraie,Edmund Gettier,vraie,Théétète,
"Philosophie
",grec ancien,sagesse,Antiquité,Occident, Orient,vérité,méditation,juste,beau,bien
