"Philosophie
,Grec ancien,langue grecque,langue,système,ensemble,éléments,mathématiques,connaissances,notion,connaissance"
grec ancien,dialectes,hellénique,signes linguistiques,ouvert,omnis,relation,raisonnements logiques,notion,connaissance,philosophie
sagesse,arcadochypriote,forme moderne,vocaux,fermé,axiomatique,symétrique,nombres,sens,empiriques,proposition
Antiquité,attique,démotique,graphiques,isolé,théorie des ensembles,ensembles,formes,langage,concept,savoir-faire
Occident,ionien-attique,locuteurs,gestuels,grec ancien,appartenance,classes,structures,sciences cognitives,philosophie,acquaintance
 Orient,Athènes antique,Grèce,communication,histoire des sciences,fonder les mathématiques,théorie des ensembles usuelle,transformations,philosophes contemporains,,croyance
vérité,littérature grecque,Chypre,sociolinguistique,modèle mathématique,mathématique,axiome extensionnalité,recherche,gnoséologie,,vraie
méditation,période hellénistique,diaspora,idiome,axiomes,Georg Cantor,,discipline,science,,Edmund Gettier
juste,koinè,minoritaires,communication,Aristote,relation,,arithmétique,philosophie,,vraie
beau,lingua franca,Turquie,identification,newtonien,Zermelo,,algèbre,épistémologie,,Théétète
bien,Antiquité,Italie,langue naturelle,système nerveux,mathématiques,,,,,
